iran ahmad morshedloo s images of people global voices.	ايران احمد مورشيدلو وتصويره للناس الاصوات العالمية
tasked with regulating the communications and information technology sector with the aim of achieving a highly competitive environment for the provision of superior services to end users and an attractive ecosystem for investors the citc is responsible for censoring thousands of websites and sending content removal requests to social media platforms.	دور الهيية هو تنظيم قطاع الاتصالات وتكنولوجيا المعلومات بهدف تحقيق بيية تنافسية عالية لتوفير افضل الخدمات للمستخدمين وجذب المستثمرين والهيية هي المسوولة عن الرقابة على الاف المواقع الالكترونية وارسال طلبات ازالة المحتوى الى منصات وسايل التواصل الاجتماعي
twitter.	اثنين من اكثر المقالات شعبية ومشاركة من هذا الجانب من الرسم البياني هما
this is how we hang up clothes at our house lol.	هكذا انشر الملابس في منزلنا لول
in the village of rwamwanja a savings and loans project called solo effort has emerged to help refugees and nationals raise livestock and create other types of businesses initiated two years ago it now has members in this video a woman named rebecca explains how she managed to lift herself out of poverty thanks to the project.	بينما انطلق في قرية رواموانجا مشروع للادخار والقروض يعرف باسم جهد فردي لمساعدة اللاجيين والمواطنين على تربية المواشي وابتكار انواع اخرى من المشاريع بدا هذا المشروع منذ عامين ووصل اعضاوه الان الى عضوا في هذا الفيديو اوضحت سيدة تدعى ريبيكا كيف نجحت في انتشال نفسها من الفقر بفضل هذا المشروع
work closely with technical staff to identify technical solutions and challenges to integrate or link a translation exchange into existing global voices initiatives.	العمل بشكل وثيق مع فريق تقني لتحديد الحلول التقنية والتحديات الخاصة بدمج او ربط مشروع التبادل بمبادرات قايمة بداتها الاصوات العالمية قبلا
in a documentary published on youtube as reported by global voices in february the problems of the prison system are exposed through interviews with current and former prisoners their families guards police officers heads of prisons human rights groups and others under the brazilian sun was directed and produced by adele reeves and leandro vilaca.	خلال فلم وثايقي نشر على يوتيوب البرازيل ضعف نظام السجون في الامريكتين الاصوات العالمية فبراير شباط عرض مشكلة السجون خلال لقاءات مع سجناء حاليين وسابقين عايلاتهم حراس السجن ضباط شرطة روساء السجون ومجموعات حقوق الانسان تحت الشمس البرازيلية تمت اخراجه وانتاجه من قبل اديل ريفيز وليناردو فيلاسا
I expect him to come soon.	أتوقّع أن يصل قريباً.
Didn't it occur to you to shut the windows?	ألم يخطر لك أن تغلق النوافذ؟
cazador de instantes posts a photo essay of a weekend in iturbe paraguay.	ينشر كازادور دي انستانتس صايد اللحظات تدوينة مصورة لعطلة نهاية اسبوع في مدينة ايتورب باراجواي
I just finished the work.	لقد أنهيت عملي للتو.
My father has never been abroad.	لم يجرب أبي السفر إلى الخارج قط.
Do you remember what she said?	هل تتذكر ما قالته؟
I am married.	أنا متزوج.
my grandma didn t just narrate the stories she made herself part of them relating a sad episode that the characters were going through would make her shed tears and she would burst into laughter at a happy ending.	لم ترو جدتي القصص فقط بل جعلت نفسها جزءا منها حيث روت بعض المواقف الحزينة التي مرت بها شخصيات القصة مما جعلها تذرف الدموع وتنفجر ضاحكة عند النهايات السعيدة
